item code,item label,item type,item status,text type,text content,text type,text content,media url,price currencyid,price quantity,price value,price tax rate,attribute code,attribute type,subproduct code,product list type,property value,property type,catalog code,catalog list type
"7301-1037, 7301-1038, 7301-1039, 7301-1040, 7301-1041",Botas R7-053 deportiva cortas piel negro R7 RACING,default,1,short,Botas R7-053 deportiva cortas piel negro R7 RACING,long,long selection description,products/441-botas-r7-053-deportiva-cortas-piel-negro-r7-racing-1.jpg;products/441-botas-r7-053-deportiva-cortas-piel-negro-r7-racing-2.jpg,MXN,1,2351,2351,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7301-1047, 7301-1033, 7301-1034, 7301-1035, 7301-1036",Botas R7-417 deportiva cortas piel negro R7 RACING,default,1,short,Botas R7-417 deportiva cortas piel negro R7 RACING,long,long selection description,products/440-botas-r7-417-deportiva-cortas-piel-negro-r7-racing-1.jpg;products/440-botas-r7-417-deportiva-cortas-piel-negro-r7-racing-2.jpg,MXN,1,2977,2977,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1169 , 7601-1245 , 7601-1246, 7604-1245, 7604-1246",Botas s-mx 6 negro ALPINESTARS,default,1,short,Botas s-mx 6 negro ALPINESTARS,long,long selection description,products/413-botas-s-mx-6-negro-alpinestars-1.jpg;products/413-botas-s-mx-6-negro-alpinestars-2.jpg,MXN,1,7456,7456,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1306, 7604-1307, 7604-1308","Botas s-mx 6 rojo,blanco ALPINESTARS",default,1,short,"Botas s-mx 6 rojo,blanco ALPINESTARS",long,long selection description,products/412-botas-s-mx-6-rojo-blanco-alpinestars-1.jpg;products/412-botas-s-mx-6-rojo-blanco-alpinestars-2.jpg,MXN,1,8708,8708,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1249, 7604-1250, 7604-1251, 7604-1252, 7604-1253",Botas s-mx plus negro ALPINESTARS,default,1,short,Botas s-mx plus negro ALPINESTARS,long,long selection description,products/416-botas-s-mx-plus-negro-alpinestars-1.jpg;products/416-botas-s-mx-plus-negro-alpinestars-2.jpg,MXN,1,10888,10888,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1260, 7604-1261, 7604-1262, 7604-1263","Botas s-mx plus negro, blanco fluo ALPINESTARS",default,1,short,"Botas s-mx plus negro, blanco fluo ALPINESTARS",long,long selection description,products/417-botas-s-mx-plus-negro-blanco-fluo-alpinestars-1.jpg;products/417-botas-s-mx-plus-negro-blanco-fluo-alpinestars-2.jpg,MXN,1,9760,9760,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1125, 7604-1126, 7604-1127, 7604-1128","Botas s-mx plus negro, rojo ALPINESTARS",default,1,short,"Botas s-mx plus negro, rojo ALPINESTARS",long,long selection description,products/418-botas-s-mx-plus-negro-rojo-alpinestars-1.jpg;products/418-botas-s-mx-plus-negro-rojo-alpinestars-2.jpg,MXN,1,10511,10511,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
" 7604-1254, 7604-1255,  7604-1256,  7604-1257,  7604-1258","Botas s-mx plus negro,blanco ALPINESTARS",default,1,short,"Botas s-mx plus negro,blanco ALPINESTARS",long,long selection description,products/415-botas-s-mx-plus-negro-blanco-alpinestars-1.jpg;products/415-botas-s-mx-plus-negro-blanco-alpinestars-2.jpg,MXN,1,10887,10887,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1298, 7604-1299, 7604-1300, 7604-1301","Botas supertech r fluo negro,blanco ALPINESTARS",default,1,short,"Botas supertech r fluo negro,blanco ALPINESTARS",long,long selection description,products/422-botas-supertech-r-fluo-negro-blanco-alpinestars-1.jpg;products/422-botas-supertech-r-fluo-negro-blanco-alpinestars-2.jpg,MXN,1,12235,12235,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1309, 7604-1310, 7604-1311",Botas supertech r negro ALPINESTARS,default,1,short,Botas supertech r negro ALPINESTARS,long,long selection description,products/423-botas-supertech-r-negro-alpinestars-3.jpg;products/423-botas-supertech-r-negro-alpinestars-4.jpg,MXN,1,12235,12235,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1294, 7604-1296, 7604-1295","Botas supertech r negro,blanco ALPINESTARS",default,1,short,"Botas supertech r negro,blanco ALPINESTARS",long,long selection description,products/421-botas-supertech-r-negro-blanco-alpinestars-1.jpg;products/421-botas-supertech-r-negro-blanco-alpinestars-2.jpg,MXN,1,12236,12236,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1302, 7604-1303, 7604-1304, 7604-1305","Botas supertech r negro,blanco ALPINESTARS",default,1,short,"Botas supertech r negro,blanco ALPINESTARS",long,long selection description,products/420-botas-supertech-r-negro-blanco-alpinestars-1.jpg;products/420-botas-supertech-r-negro-blanco-alpinestars-2.jpg,MXN,1,12236,12236,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1188, 7604-1190, 7604-1191",Botas ventilada s-mx 6 negro ALPINESTARS,default,1,short,Botas ventilada s-mx 6 negro ALPINESTARS,long,long selection description,products/411-botas-ventilada-s-mx-6-negro-alpinestars-1.jpg;products/411-botas-ventilada-s-mx-6-negro-alpinestars-2.jpg,MXN,1,7456,7456,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1264, 7604-1265, 7604-1266, 7604-1267",Botas ventilada s-mx plus blanco ALPINESTARS,default,1,short,Botas ventilada s-mx plus blanco ALPINESTARS,long,long selection description,products/419-botas-ventilada-s-mx-plus-blanco-alpinestars-1.jpg;products/419-botas-ventilada-s-mx-plus-blanco-alpinestars-2.jpg,MXN,1,9987,9987,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
15825200,Bridgestone battlax A40R 170/60 R17 M/C 72V,default,1,short,Bridgestone battlax A40R 170/60 R17 M/C 72V,long,long selection description,products/446-llanta-aventura-battlax-a40r-170-60-r17-m-c-72v-bridgestone-1.jpg,MXN,1,3501,3501,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
10126200,Bridgestone battlax BT-016 PRO 120/60 ZR17 55W,default,1,short,Bridgestone battlax BT-016 PRO 120/60 ZR17 55W,long,long selection description,products/462-bridgestone-battlax-bt-016-pro-120-60-zr17-55w-1.jpg;products/462-bridgestone-battlax-bt-016-pro-120-60-zr17-55w-2.jpg;products/462-bridgestone-battlax-bt-016-pro-120-60-zr17-55w-3.jpg,MXN,1,2907,2907,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
10023200,Bridgestone battlax BT45R 100/90 19 M/C 57V,default,1,short,Bridgestone battlax BT45R 100/90 19 M/C 57V,long,long selection description,products/466-bridgestone-battlax-bt45r-100-90-19-m-c-57v-1.jpg;products/466-bridgestone-battlax-bt45r-100-90-19-m-c-57v-2.jpg;products/466-bridgestone-battlax-bt45r-100-90-19-m-c-57v-3.jpg,MXN,1,3342,3342,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
11726200,Bridgestone battlax BT45R 130/80 17 MC 65H,default,1,short,Bridgestone battlax BT45R 130/80 17 MC 65H,long,long selection description,products/467-bridgestone-battlax-bt45r-130-80-17-mc-65h-1.jpg;products/467-bridgestone-battlax-bt45r-130-80-17-mc-65h-2.jpg,MXN,1,3628,3628,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
10929200,Bridgestone battlax hypersport S20 190/55 ZR17 75W,default,1,short,Bridgestone battlax hypersport S20 190/55 ZR17 75W,long,long selection description,products/463-bridgestone-battlax-hypersport-s20-190-55-zr17-75w-1.jpg;products/463-bridgestone-battlax-hypersport-s20-190-55-zr17-75w-2.jpg;products/463-bridgestone-battlax-hypersport-s20-190-55-zr17-75w-3.jpg,MXN,1,5213,5213,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
10935200,Bridgestone battlax racing R10 120/70 ZR17 M/C 58W,default,1,short,Bridgestone battlax racing R10 120/70 ZR17 M/C 58W,long,long selection description,products/455-bridgestone-battlax-racing-r10-120-70-zr17-m-c-58w-1.jpg;products/455-bridgestone-battlax-racing-r10-120-70-zr17-m-c-58w-2.jpg;products/455-bridgestone-battlax-racing-r10-120-70-zr17-m-c-58w-3.jpg,MXN,1,4879,4879,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
